execution_id,model_id,execution_date,Oficina,power_usage_W,duration_epoch_h,num_epochs,emission_factor_location,total_inference_energy_Wh,num_predictions,model_accuracy,total_data,data_used,model_size_mb,energy_epoch_Wh,EPT_kWh,CPT_kg_CO2,EPP_Wh,CE,DWR,MFS,EPT_per_MB,CPT_per_MB
1,31,2024-01-01T01:28:27,Braga,123.60597752705154,0.5324111181820984,4,0.5507930367456564,3802.146585118692,63326,0.6329708692863626,71884,53475.0,206.41162167415706,65.80919670916883,0.26323678683667534,0.14498898920494144,0.06004084554714797,4.3656478520010955,0.256093150075121,0.05321518267093862,0.0012753002214779502,0.0007024264817502482
2,45,2024-01-01T01:43:13,Braga,132.0045918344547,0.7639041982769746,9,0.1998689811535651,5146.915586268918,3434,0.8808382552198668,162177,129573.0,90.11719125216503,100.83886189417838,0.9075497570476054,0.18139104528727043,1.4988105958849498,4.856018409425208,0.20103960487615383,0.0216148734439233,0.010070772784163998,0.0020128350957999103
3,30,2024-01-01T02:20:33,Valencia,179.90813750685166,0.596201780728658,5,0.33845735321967296,1910.20762908073,83822,0.8618176563494476,72078,58396.0,78.04767213982194,107.26155194916123,0.5363077597458061,0.1815173048747378,0.02278885768748932,4.747853968767188,0.1898221371292211,0.025082486600723104,0.006871540752490529,0.0023257234956290643
4,16,2024-01-01T02:29:48,Porto,51.400559680891234,1.0178497602949608,12,0.398354667483246,5156.473230315936,11463,0.8247964588458125,196402,146780.0,281.6001573193837,52.31804735022197,0.6278165682026636,0.2500936602668447,0.44983627587158126,3.2979502877672786,0.2526552682762905,0.0438172948989635,0.0022294609995214248,0.0008881161951312225
5,43,2024-01-01T02:30:57,Madrid,169.83156149311162,1.059543603891976,9,0.7624585751191468,6072.144080383841,91904,0.6391174400575274,171356,162104.0,208.83064721740834,179.94394471901325,1.619495502471119,1.2347982332259961,0.06607050923119605,0.5175885605114519,0.05399285697611989,0.44561714741903985,0.0077550662417145266,0.0059129167566122545
6,14,2024-01-01T03:20:38,Porto,74.99541589780019,0.526026561346888,4,0.35259810643656353,6253.36320110407,59080,1.0408492612504034,88370,77384.0,361.6113493033884,39.44958074149957,0.15779832296599827,0.055639389876676285,0.10584568722247918,18.70705742024539,0.12431820753649428,-0.0022728279728854023,0.00043637547126212293,0.0001538651648623876
7,38,2024-01-01T03:51:28,Valencia,123.33946866266663,0.3919706153868491,10,0.5875669247817906,5723.775032046418,52077,0.6749230001914974,190812,136786.0,410.47439600174675,48.345447433192426,0.48345447433192423,0.28406185875520584,0.10990984565252258,2.3759719208664385,0.28313732888916837,0.09234197680416893,0.001177794471570078,0.0006920330756854248
8,37,2024-01-01T04:38:43,Porto,56.783673720071086,0.43994015394072755,4,0.4904601846478654,9369.118221546061,81620,0.7292025439065982,159287,115764.0,437.400981246834,24.98141815772812,0.09992567263091247,0.04900956384961948,0.11478949058497992,14.878780520146577,0.2732363595271428,0.013271665214724102,0.00022845324293985166,0.00011204721971568329
9,4,2024-01-01T05:06:12,Braga,133.25264057016147,0.4049975546630134,9,0.48299396733171185,7293.349625424782,58323,0.7156979392455548,38680,29483.0,421.18287815990567,53.96699358330485,0.48570294224974364,0.234591591021889,0.12505100261345922,3.050825207024472,0.23777145811789038,0.06669487276318704,0.001153187765779364,0.0005569827340721679
10,37,2024-01-01T05:18:00,Lisboa,117.33967525961307,0.4164058262482535,9,0.6044807460204527,9941.359493461674,64340,0.8066041455456133,184946,141554.0,105.35119347438902,48.86092442818093,0.43974831985362833,0.2658193924463619,0.15451289234475712,3.034406700438055,0.2346198349788587,0.051408368532710094,0.004174118065027252,0.0025231740019251215
